measure	title
H.R. 221	Simple Savings Tax Relief Act of 2005
H.R. 236	To require the Consumer Product Safety Commission to ban toys which in size, shape, or overall appearance resemble real handguns.
H.R. 238	Educational Empowerment Act
H.R. 249	To repeal the reservation of mineral rights made by the United States when certain lands in Livingston Parish, Louisiana, were conveyed by Public Law 102-562.
H.R. 307	Long Island Sound Stewardship Act of 2005
H.R. 314	Combat Meth Act of 2005
H.R. 341	Improving the Community Services Block Grant Act of 2005
H.R. 357	Family Entertainment and Copyright Act of 2005
H.R. 421	G.I. Advanced Education in Science and Technology Act
H.R. 438	To designate the facility of the United States Postal Service located at 2000 Allston Way in Berkeley, California, as the "Maudelle Shirek Post Office Building".
H.R. 475	Family and Medical Leave Inclusion Act
H.R. 491	Push Poll Disclosure Act of 2005
H.R. 498	Price Stability Act of 2005
H.R. 521	Milk Import Tariff Equity Act
H.R. 534	Help Efficient, Accessible, Low-cost, Timely Healthcare (HEALTH) Act of 2005
H.R. 550	Voter Confidence and Increased Accessibility Act of 2005
H.R. 559	To amend the Elementary and Secondary Education Act of 1965 to direct the Secretary of Education to make grants to States for assistance in hiring additional school-based mental health and student service providers.
H.R. 560	Peace Stamp for the Peace Corps Act
H.R. 572	To amend the National Highway System Designation Act of 1995 concerning the applicability of hours of service requirements to drivers operating commercial motor vehicles transporting agricultural commodities and farm supplies.
H.R. 594	Oral Health Promotion Act of 2005
H.R. 604	To halt the issuance of visas to citizens of Saudi Arabia until the President certifies that the Kingdom of Saudi Arabia does not discriminate in the issuance of visas on the basis of religious affiliation or heritage.
H.R. 608	For the relief of Geert Botzen.
H.R. 615	Notch Fairness Act of 2005
H.R. 619	Denver Federal Center Redevelopment Act
H.R. 620	Security Measures Feasibility Act
H.R. 634	To designate Poland as a program country under the visa waiver program established under section 217 of the Immigration and Nationality Act, subject to special conditions.
H.R. 685	Bankruptcy Abuse Prevention and Consumer Protection Act of 2005
H.R. 687	Civil War Sesquicentennial Commission Act
H.R. 700	Pharmaceutical Market Access and Drug Safety Act of 2005
H.R. 707	To amend the Harmonized Tariff Schedule of the United States with respect to rattan webbing.
H.R. 712	Medicare Prescription Drug Sensibility Act
H.R. 715	To extend the time within which claims may be filed under the September 11th Victim Compensation Fund.
H.R. 716	To amend title 10, United States Code, to provide that military reservists who are retained in active status after qualifying for reserve retired pay shall be given credit toward computation of such retired pay for service performed after so qualifying.
H.R. 717	To amend title 38, United States Code, to expand the scope of programs of education for which accelerated payments of educational assistance under the Montgomery GI Bill may be used, and for other purposes.
H.R. 718	Great Lakes Controlled Data Collection and Monitoring Act
H.R. 720	September 11th Tax Correction Act
H.R. 721	To amend the Federal Crop Insurance Act to require the Federal Crop Insurance Corporation to offer farmers supplemental crop insurance based on an area yield and loss plan of insurance, and for other purposes.
H.R. 723	To direct the Secretary of Transportation to conduct a study to determine the feasibility of constructing a highway in California connecting State Route 130 in Santa Clara County with Interstate Route 5 in San Joaquin County, and to determine the feasibility of constructing a fixed guideway system along the right-of-way of the highway.
H.R. 724	To designate the United States courthouse located at 2500 Tulare Street in Fresno, California, as the "Robert E. Coyle United States Courthouse".
H.R. 725	Paperwork and Regulatory Improvements Act of 2005
H.R. 726	Erroneous Tax Refund Fairness Act
H.R. 727	Self-Employed Health Equity Adjustment to Lower Tax Hindrance Act of 2005
H.R. 729	Medicare Drug Cost Credibility Act of 2005
H.R. 730	To amend title 10, United States Code, to provide a temporary increase in the minimum end strength level for active duty personnel for the Army, the Marine Corps, and the Air Force, and for other purposes.
H.R. 731	Reaffirmation of State Regulation of Resident and Nonresident Hunting and Fishing Act of 2005
H.R. 732	Northern Rio Grande National Heritage Area Act
H.R. 733	Subway Cell Access Act
H.R. 734	Flight 587 Act
H.R. 735	Family Building Act of 2005
H.R. 736	COLA Fairness Act of 2005
H.R. 746	Foreign Debt Ceiling Act of 2005
H.R. 750	Social Security Guarantee Plus Act of 2005
H.R. 751	Work, Family, and Opportunity Promotion Act
H.R. 752	Medicare Prescription Drug Savings and Choice Act of 2005
H.R. 753	Safe Importation of Medical Products and Other Rx Therapies Act of 2005
H.R. 759	Climate Stewardship Act of 2005
H.R. 760	National Heritage Partnership Act
H.R. 761	Next Generation Hispanic-Serving Institutions Act
H.R. 763	Revolutionary War and War of 1812 Battlefield Protection Act of 2005
H.R. 764	To require the Attorney General to establish a Federal register of cases of child abuse or neglect.
H.R. 765	Fair Care for the Uninsured Act of 2005
H.R. 766	President Ronald Reagan $50 Bill Act
H.R. 767	Abraham Lincoln Bicentennial 1-Cent Coin Redesign Act
H.R. 768	Family Life Education Act
H.R. 769	Ukrainian American Veterans Charter Act
H.R. 770	To require the annual poverty estimate and the National Assessment of Educational Progress to be subject to certain guidance on the release of information to the public.
H.R. 772	Resuming Education After Defense Service Act of 2005
H.R. 773	Fairness in Labor Litigation Act
H.R. 775	Farmland Capital Gains Equity Act of 2005
H.R. 776	Sanctity of Life Act of 2005
H.R. 777	Taxpayers' Freedom of Conscience Act of 2005
H.R. 778	Head Start Accountability Act of 2005
H.R. 779	Federal Hydropower Enhancement Act of 2005
H.R. 780	To amend section 5202 of the Intelligence Reform and Terrorism Prevention Act of 2004 to provide for assured funding for more Border Patrol agents.
H.R. 781	Geary County, Kansas, Land Conveyance Act
H.R. 782	Senior Nutrition Act of 2005
H.R. 783	To amend title 10, United States Code, to reduce the age for receipt of military retired pay for non-regular service from 60 to 55.
